Title	Photographer	Date	Physical Description	Notes	Type	Subjects	Digital Collection	Shelving Location	Repository	Repository Collection Guide	Cite As	Restrictions	Contact and Ordering Information	Item Number	Item URL	Collection URL	File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Portrait of an unidentified African  American man	Lytle, Andrew David, 1833-1917.	1887	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511301	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/33	33	34.jp2	/p16313coll54/image/34.jp2
Portrait of an unidentified African  American man	Lytle, Andrew David, 1833-1917.	1888	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511302	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/34	34	35.jp2	/p16313coll54/image/35.jp2
Portrait of an unidentified African  American woman	Lytle, Andrew David, 1833-1917.	1889	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511303	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/35	35	36.jp2	/p16313coll54/image/36.jp2
Portrait of an unidentified African  American woman	Lytle, Andrew David, 1833-1917.	1890	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511304	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/36	36	37.jp2	/p16313coll54/image/37.jp2
Portrait of an unidentified African  American woman	Lytle, Andrew David, 1833-1917.	1891	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511305	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/37	37	38.jp2	/p16313coll54/image/38.jp2
Portrait of an unidentified African  American woman	Lytle, Andrew David, 1833-1917.	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511306	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/38	38	39.jp2	/p16313coll54/image/39.jp2
Portrait of an unidentified African  American woman	Lytle, Andrew David, 1833-1917.	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511307	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/39	39	40.jp2	/p16313coll54/image/40.jp2
Portrait of an unidentified African  American woman	Dambly Bros. (Studio: St. Cloud, Minn.)	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511308	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/40	40	41.jp2	/p16313coll54/image/41.jp2
Portrait of an unidentified African  American woman	Dambly Bros. (Studio: Baton Rouge, La.)	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511309	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/41	41	42.jp2	/p16313coll54/image/42.jp2
Portrait of an unidentified African  American woman	Dambly Bros. (Studio: Baton Rouge, La.)	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511310	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/42	42	43.jp2	/p16313coll54/image/43.jp2
